name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),6706399.00,6.875205,None,0.00,0.000001,14,14
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),7582701.00,6.944015,None,0.00,0.000002,16,14
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),8344851.00,6.975247,None,0.00,0.000002,18,14
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),9109120.00,7.255393,None,0.00,0.000002,20,14
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5081615.00,7.071486,None,0.00,0.000002,10,15
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5845404.00,6.847901,None,0.00,0.000001,12,15
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),6709850.00,6.849446,None,0.00,0.000002,14,15
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),7545801.00,6.914434,None,0.00,0.000002,16,15
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),8325530.00,6.998750,None,0.00,0.000002,18,15
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),9188195.00,7.090236,None,0.00,0.000002,20,15
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),4996365.00,6.835664,None,0.00,0.000001,10,16
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5849817.00,6.801090,None,0.00,0.000002,12,16
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),6710780.00,6.864844,None,0.00,0.000001,14,16
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),7547224.00,6.964477,None,0.00,0.000002,16,16
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),8354253.00,7.023357,None,0.00,0.000002,18,16
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),9111428.00,7.068454,None,0.00,0.000002,20,16
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),4976330.00,6.564244,None,0.00,0.000002,10,17
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5918321.00,6.821029,None,0.00,0.000001,12,17
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),6662762.00,6.881906,None,0.00,0.000001,14,17
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),7556514.00,8.215442,None,0.00,0.000003,16,17
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),8404000.00,7.048893,None,0.00,0.000001,18,17
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),9152777.00,7.047797,None,0.00,0.000002,20,17
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5026151.00,6.759861,None,0.00,0.000002,10,18
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5879163.00,6.851585,None,0.00,0.000001,12,18
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),6695083.00,6.845947,None,0.00,0.000002,14,18
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),7523934.00,6.977424,None,0.00,0.000001,16,18
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),8345855.00,6.956557,None,0.00,0.000002,18,18
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),9115913.00,7.058550,None,0.00,0.000001,20,18
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5027954.00,6.692049,None,0.00,0.000002,10,19
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5855909.00,6.727960,None,0.00,0.000002,12,19
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),6713993.00,6.868630,None,0.00,0.000001,14,19
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),7505766.00,6.872985,None,0.00,0.000002,16,19
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),8370179.00,7.006463,None,0.00,0.000002,18,19
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),9181684.00,7.052483,None,0.00,0.000002,20,19
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5042213.00,6.797075,None,0.00,0.000001,10,20
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5885841.00,6.863797,None,0.00,0.000001,12,20
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),6745158.00,6.847137,None,0.00,0.000001,14,20
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),7524848.00,6.946245,None,0.00,0.000002,16,20
