name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),240044.00,0.020111,None,0.00,0.000002,10,13
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),272741.00,0.020452,None,0.00,0.000001,12,13
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),302735.00,0.019822,None,0.00,0.000001,14,13
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),336016.00,0.020094,None,0.00,0.000000,16,13
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),371436.00,0.020619,None,0.00,0.000011,18,13
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),413182.00,0.020993,None,0.00,0.000001,20,13
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),246045.00,0.020899,None,0.00,0.000001,10,14
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),279395.00,0.020769,None,0.00,0.000001,12,14
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),307866.00,0.019134,None,0.00,0.000002,14,14
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),336306.00,0.020985,None,0.00,0.000003,16,14
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),377097.00,0.020121,None,0.00,0.000001,18,14
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),409093.00,0.020597,None,0.00,0.000002,20,14
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),237147.00,0.021466,None,0.00,0.000001,10,15
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),270050.00,0.020655,None,0.00,0.000001,12,15
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),304192.00,0.020617,None,0.00,0.000003,14,15
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),338280.00,0.020246,None,0.00,0.000001,16,15
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),375981.00,0.019770,None,0.00,0.000001,18,15
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),408302.00,0.023820,None,0.00,0.000002,20,15
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),240456.00,0.019226,None,0.00,0.000001,10,16
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),278120.00,0.021184,None,0.00,0.000001,12,16
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),302365.00,0.021612,None,0.00,0.000001,14,16
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),347295.00,0.021395,None,0.00,0.000001,16,16
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),378511.00,0.020372,None,0.00,0.000001,18,16
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),416556.00,0.021183,None,0.00,0.000001,20,16
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),232659.00,0.020405,None,0.00,0.000002,10,17
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),267201.00,0.020974,None,0.00,0.000001,12,17
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),305054.00,0.021340,None,0.00,0.000002,14,17
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),339132.00,0.021663,None,0.00,0.000002,16,17
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),367755.00,0.023495,None,0.00,0.000001,18,17
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),411290.00,0.021082,None,0.00,0.000000,20,17
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),240373.00,0.020244,None,0.00,0.000001,10,18
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),273624.00,0.020490,None,0.00,0.000001,12,18
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),304706.00,0.020664,None,0.00,0.000002,14,18
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),344228.00,0.021046,None,0.00,0.000001,16,18
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),378631.00,0.021172,None,0.00,0.000002,18,18
